iCase,Fr,beta,Cd,alpha_simple,alpha_SRH_2D,bConverged_simple,bConverged_SRH_2D
323.00,0.35,0.25,26.67,0.62,0.54,1.00,1.00
324.00,0.35,0.25,35.56,0.66,0.57,1.00,1.00
325.00,0.35,0.25,44.44,0.70,0.59,1.00,1.00
326.00,0.35,0.25,53.33,0.72,0.61,1.00,1.00
327.00,0.35,0.25,62.22,0.74,0.63,1.00,1.00
328.00,0.35,0.25,71.11,0.76,0.64,1.00,1.00
329.00,0.35,0.25,80.00,0.78,0.65,1.00,1.00
330.00,0.35,0.35,0.00,0.35,0.35,1.00,1.00
331.00,0.35,0.35,8.89,0.60,0.56,1.00,1.00
332.00,0.35,0.35,17.78,0.69,0.62,1.00,1.00
333.00,0.35,0.35,26.67,0.74,0.66,1.00,1.00
334.00,0.35,0.35,35.56,0.77,0.69,1.00,1.00
335.00,0.35,0.35,44.44,0.79,0.71,1.00,1.00
336.00,0.35,0.35,53.33,0.81,0.72,1.00,1.00
337.00,0.35,0.35,62.22,0.83,0.73,1.00,1.00
338.00,0.35,0.35,71.11,0.84,0.75,1.00,1.00
339.00,0.35,0.35,80.00,0.85,0.76,1.00,1.00
340.00,0.35,0.45,0.00,0.45,0.45,1.00,1.00
341.00,0.35,0.45,8.89,0.71,0.66,1.00,1.00
342.00,0.35,0.45,17.78,0.76,0.72,1.00,1.00
343.00,0.35,0.45,26.67,0.80,0.75,1.00,1.00
344.00,0.35,0.45,35.56,0.82,0.77,1.00,1.00
345.00,0.35,0.45,44.44,0.84,0.79,1.00,1.00
346.00,0.35,0.45,53.33,0.86,0.80,1.00,1.00
347.00,0.35,0.45,62.22,0.87,0.81,1.00,1.00
348.00,0.35,0.45,71.11,0.87,0.82,1.00,1.00
349.00,0.35,0.45,80.00,0.88,0.83,1.00,1.00
350.00,0.35,0.55,0.00,0.55,0.55,1.00,1.00
351.00,0.35,0.55,8.89,0.79,0.74,1.00,1.00
352.00,0.35,0.55,17.78,0.84,0.79,1.00,1.00
353.00,0.35,0.55,26.67,0.86,0.82,1.00,1.00
354.00,0.35,0.55,35.56,0.87,0.84,1.00,1.00
355.00,0.35,0.55,44.44,0.89,0.85,1.00,1.00
356.00,0.35,0.55,53.33,0.89,0.86,1.00,1.00
357.00,0.35,0.55,62.22,0.90,0.87,1.00,1.00
358.00,0.35,0.55,71.11,0.91,0.88,1.00,1.00
359.00,0.35,0.55,80.00,0.91,0.88,1.00,1.00
360.00,0.35,0.65,0.00,0.65,0.65,1.00,1.00
361.00,0.35,0.65,8.89,0.85,0.82,1.00,1.00
362.00,0.35,0.65,17.78,0.89,0.86,1.00,1.00
363.00,0.35,0.65,26.67,0.90,0.88,1.00,1.00
364.00,0.35,0.65,35.56,0.92,0.89,1.00,1.00
365.00,0.35,0.65,44.44,0.92,0.90,1.00,1.00
366.00,0.35,0.65,53.33,0.93,0.91,1.00,1.00
367.00,0.35,0.65,62.22,0.93,0.91,1.00,1.00
368.00,0.35,0.65,71.11,0.94,0.92,1.00,1.00
369.00,0.35,0.65,80.00,0.94,0.92,1.00,1.00
